coefficient,coupling_row_norm,estimate,name,reporting_multiplier,se_ambient,se_fixed_range,se_fixed_rank,sensitivity_0,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4
drink_gt2_0,2.4098453497969987,0.14935533030153605,skin_baseline_K4_bcc_first_cap730.5,1.0,0.07801674748850568,0.06172860050338404,0.06172860050338404,-2.409808304902389,-0.0032242510186543407,0.008401291264916783,-0.0014380603923288423,0.009772310599478909
sundamage_gt5_0,5.098518842960811,0.03784055636610936,skin_baseline_K4_bcc_first_cap730.5,1.0,0.10899235984509424,0.09004210218169763,0.09004210218169763,5.098504002260808,0.006377878848414118,0.010083623440877508,0.001145623530416414,-0.002767978213564117
treatment_1,0.09726917953645504,0.24610662908098227,skin_baseline_K4_bcc_first_cap730.5,1.0,0.13066987797215415,0.13227523802034313,0.13227523802034313,-0.037482170251522236,0.0850603972703411,-0.0049951923758913925,0.022119666307177342,0.017517917476964327
baseline_Se20_1,0.5895603963167463,-0.09561023541622646,skin_baseline_K4_bcc_first_cap730.5,1.0,0.036326432051825265,0.03280144133691771,0.03280144133691771,-0.014031063514780458,-0.589281136720644,0.0034624467659613084,-0.0060479773852243415,-0.009152349368850874
history_none_1,1.4392749435449024,0.07753698407021803,skin_baseline_K4_bcc_first_cap730.5,1.0,0.2950595409280711,0.2992718765869191,0.2992718765869191,0.14993316384392902,-1.430878135603253,0.0014039344871549023,0.016206103515989004,-0.036817953844225725
history_SCC_only_1,0.9862984863785185,1.0076970364653342,skin_baseline_K4_bcc_first_cap730.5,1.0,0.11142263741904843,0.11840263804483717,0.11840263804483717,0.08855327269472502,-0.9817795447844151,0.0037484467900448805,0.0003690924818475391,-0.03221429011974331
history_both_1,1.0227481350419954,0.7681110418351583,skin_baseline_K4_bcc_first_cap730.5,1.0,0.11684813731662982,0.11987381196526488,0.11987381196526488,0.06948339832691823,-1.020364003895627,-0.0015198133424617392,0.006172927509007239,0.0016400537430136615
AK_gt2_1,0.5209765690545645,0.5991161154396569,skin_baseline_K4_bcc_first_cap730.5,1.0,0.0768513674093456,0.07929461122917904,0.07929461122917904,-0.13650074982641644,0.5025414767128127,0.005384138171217682,0.003586568887196061,-0.013940680175929114
age10_1,0.11951649248224744,0.15564624060203558,skin_baseline_K4_bcc_first_cap730.5,1.0,0.07398604732566734,0.0740782265648954,0.0740782265648954,-0.01017013047430584,0.11857921044326435,-0.0006988942488748302,0.010896755459858153,-0.0007096050476645416
male_1,0.9019929651451161,0.562120316934143,skin_baseline_K4_bcc_first_cap730.5,1.0,0.11239439523987241,0.10952452650983803,0.10952452650983803,-0.044070215681336455,0.8995440307813957,0.004211687958557952,0.03879296595123916,-0.03077384317702668
drink_gt2_1,0.49236346217772126,0.1468215232218239,skin_baseline_K4_bcc_first_cap730.5,1.0,0.07096804185538784,0.0701659568188532,0.0701659568188532,-0.07546746302411232,-0.4861050674823649,-0.004768599036954781,-0.010860646600732249,0.01695910077040508
