case,stratum,method,parameter,attempted,accepted,stratum_n,valid,covered,coverage,coverage_mcse,bias,empirical_sd,mean_se,median_se,sd_mean_se_ratio,sd_median_se_ratio
skin_rich_design,all_accepted,fixed_range,drink_gt2_0,100,98,98,98,87,0.8877551020408163,0.03188723448138099,-0.006123860533571084,0.06960114894470229,0.06521215093537384,0.06150064868254797,1.0673033774591794,1.1317140621388764
skin_rich_design,all_accepted,fixed_range,drink_gt2_1,100,98,98,98,84,0.8571428571428571,0.03534797566467097,0.0027279073268504524,0.12661333961311547,0.11291066879387444,0.10694559395570566,1.12135851258003,1.1839042164332243
skin_rich_design,all_accepted,fixed_range,history_SCC_only_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,-0.04163692276512092,0.1259226407793617,0.09457851613491912,0.0928970369765823,1.331408505074548,1.3555076122729788
skin_rich_design,all_accepted,fixed_range,history_SCC_only_1,100,98,98,98,83,0.8469387755102041,0.03637018935823512,0.028885853515426056,0.15619981686580123,0.1242721390760321,0.12031290644975448,1.256917423544429,1.2982798061738619
skin_rich_design,all_accepted,fixed_range,history_both_0,100,98,98,98,82,0.8367346938775511,0.03733600138444809,-0.003834345208902606,0.07874540932722379,0.060424113727677496,0.05447698883134214,1.3032116562291283,1.4454802113056469
skin_rich_design,all_accepted,fixed_range,history_both_1,100,98,98,98,88,0.8979591836734694,0.03057751743936302,0.025489384577477105,0.14530834228962217,0.12515977725129454,0.12398192883281542,1.1609827492571638,1.1720122735432237
skin_rich_design,all_accepted,fixed_range,history_none_0,100,98,98,98,81,0.826530612244898,0.03824968444140503,-0.1107902075691826,0.36453435189668276,0.2691389591981281,0.26852692262797284,1.3544466136852704,1.3575337188879275
skin_rich_design,all_accepted,fixed_range,history_none_1,100,98,98,98,78,0.7959183673469388,0.04071207009845173,-0.22477103691366962,0.646313748016807,0.4008619130441686,0.37151304342786495,1.6123101920775234,1.7396798294170763
skin_rich_design,all_accepted,fixed_range,male_0,100,98,98,98,79,0.8061224489795918,0.03993477414519745,-0.002743441722088988,0.07892695179407372,0.06546067791320893,0.0619918610149289,1.2057154662944225,1.273182487214999
skin_rich_design,all_accepted,fixed_range,male_1,100,98,98,98,86,0.8775510204081632,0.033113168197086144,-0.0024830217089210817,0.17414813463902698,0.12480702001142946,0.11545921004744131,1.3953392575439987,1.5083087314339916
skin_rich_design,all_accepted,fixed_range,sundamage_gt5_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,-0.011521428562388338,0.07105449821401813,0.0602231422684416,0.05819744286851905,1.1798537163221459,1.220921310486889
skin_rich_design,all_accepted,fixed_range,sundamage_gt5_1,100,98,98,98,82,0.8367346938775511,0.03733600138444809,-0.014896762271561273,0.12346073416245279,0.09757655019326751,0.09306924894204907,1.265270538033135,1.3265470127445362
skin_rich_design,all_accepted,fixed_range,treatment_0,100,98,98,98,86,0.8775510204081632,0.033113168197086144,0.006267233391770187,0.06417150508477507,0.051235509345886145,0.05387520884675272,1.2524810605777181,1.1911138064876932
skin_rich_design,all_accepted,fixed_range,treatment_1,100,98,98,98,83,0.8469387755102041,0.03637018935823512,0.0009602202731124632,0.11018906012965379,0.09356877220559266,0.09232578950783196,1.177626440235236,1.1934808325717756
skin_rich_design,all_accepted,fixed_rank,AK_gt2_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,0.0025484740928826953,0.0829346285676179,0.0669543606458776,0.06542161140415709,1.2386740425505682,1.2676946774555904
skin_rich_design,all_accepted,fixed_rank,AK_gt2_1,100,98,98,98,72,0.7346938775510204,0.044597838311307154,0.020933627561236876,0.15475487412079975,0.10521621096813552,0.09982447735024905,1.4708272869440897,1.5502698158670967
skin_rich_design,all_accepted,fixed_rank,age10_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,-0.0037862017244901167,0.03190788961461441,0.026814733337353902,0.026148394317288187,1.1899387255947669,1.2202619108247994
skin_rich_design,all_accepted,fixed_rank,age10_1,100,98,98,98,75,0.7653061224489796,0.04281100628451433,-0.01095458136310324,0.07552771133046275,0.053436511647833286,0.04952841173315792,1.4134102133802966,1.524937075256524
skin_rich_design,all_accepted,fixed_rank,baseline_Se20_0,100,98,98,98,87,0.8877551020408163,0.03188723448138099,-6.424739748076343e-05,0.028725095874341394,0.024760831037374705,0.023178321788985,1.1601022530698955,1.2393087012879587
skin_rich_design,all_accepted,fixed_rank,baseline_Se20_1,100,98,98,98,81,0.826530612244898,0.03824968444140503,0.007641517600815607,0.04798281480835199,0.04279450543866747,0.041661701648592855,1.1212377457456622,1.151724795426656
skin_rich_design,all_accepted,fixed_rank,drink_gt2_0,100,98,98,98,87,0.8877551020408163,0.03188723448138099,-0.006123860533571084,0.06960114894470229,0.06521215093537384,0.06150064868254797,1.0673033774591794,1.1317140621388764
skin_rich_design,all_accepted,fixed_rank,drink_gt2_1,100,98,98,98,84,0.8571428571428571,0.03534797566467097,0.0027279073268504524,0.12661333961311547,0.11291066879387444,0.10694559395570566,1.12135851258003,1.1839042164332243
