case,comparison,parameter,n,risk_difference,MCSE
cf_long16,fallback - projected_initial,baseline_relative_ISE_0,100,0.0073755286632705246,0.0005620289806752008
cf_long16,fallback - projected_initial,baseline_relative_ISE_1,100,-0.08147033469054435,0.003446385272740822
cf_long16,fallback - projected_initial,prediction_mse,100,-0.0629690311433768,0.0010791530074491526
cf_long16,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_K2,coupled - initial,treatment_0,100,-0.0022988501490338997,0.0005682803790391418
cf_K2,coupled - initial,FEV10_0,100,-0.00022451772446869918,7.018203494037474e-05
cf_K2,coupled - initial,treatment_1,100,-0.007732800613474716,0.0020351924525868837
cf_K2,coupled - initial,FEV10_1,100,-0.00048167607840509627,0.00011323899879253448
cf_K2,coupled - initial,nu0,100,0.007000985761122473,0.0023393801760003005
cf_K2,coupled - initial,nu1,100,0.0006863620865693338,0.0004808532284323173
cf_K2,coupled - initial,theta,100,0.0034517498704208717,0.0005517485004640571
cf_K2,coupled - initial,cumulative_relative_0,100,-0.010214929089443213,0.002141155521278487
cf_K2,coupled - initial,cumulative_relative_1,100,-2.500771749865322,0.15872901103961454
cf_K2,coupled - initial,baseline_relative_ISE_0,100,-0.02847356602586298,0.0032993245772709235
cf_K2,coupled - initial,baseline_relative_ISE_1,100,-3.576466285171345,0.2383337155221818
cf_K2,coupled - initial,prediction_mse,100,-0.06569712608968188,0.0010364543502840596
cf_K2,coupled - initial,negative_prediction_fraction,100,0.0,0.0
cf_K2,coupled - projected_initial,treatment_0,100,-0.0022988501490338997,0.0005682803790391418
cf_K2,coupled - projected_initial,FEV10_0,100,-0.00022451772446869918,7.018203494037474e-05
cf_K2,coupled - projected_initial,treatment_1,100,-0.007732800613474716,0.0020351924525868837
cf_K2,coupled - projected_initial,FEV10_1,100,-0.00048167607840509627,0.00011323899879253448
cf_K2,coupled - projected_initial,nu0,100,0.007000985761122473,0.0023393801760003
cf_K2,coupled - projected_initial,nu1,100,0.0006863620865693338,0.00048085322843231717
cf_K2,coupled - projected_initial,theta,100,0.003451749870420871,0.000551748500464057
